,23.07.13 10 uM AcAc 2,
Raman shift [1/cm],Intensity,
360.0000,1299.8636,
359.8000,1307.6067,
359.6000,1315.4685,
359.4000,1323.2567,
359.2000,1331.2524,
359.0000,1339.7931,
358.8000,1348.2565,
358.6000,1356.3416,
358.4000,1364.2771,
358.2000,1372.6472,
358.0000,1381.0521,
357.8000,1391.0212,
357.6000,1399.996,
357.4000,1408.9709,
357.2000,1418.1609,
357.0000,1427.4247,
356.8000,1436.2483,
356.6000,1444.8812,
356.4000,1453.2174,
356.2000,1461.6201,
356.0000,1470.1057,
355.8000,1477.941,
355.6000,1486.3436,
355.4000,1495.6398,
355.2000,1504.9607,
355.0000,1514.735,
354.8000,1525.1456,
354.6000,1534.3362,
354.4000,1543.3541,
354.2000,1551.9619,
354.0000,1560.0887,
353.8000,1569.1005,
353.6000,1579.0242,
353.4000,1588.1183,
353.2000,1596.9287,
353.0000,1605.8279,
352.8000,1615.972,
352.6000,1626.1523,
352.4000,1636.5358,
352.2000,1645.9869,
352.0000,1654.4429,
351.8000,1663.2358,
351.6000,1673.1112,
351.4000,1683.3167,
351.2000,1693.1144,
351.0000,1702.345,
350.8000,1711.2695,
350.6000,1720.3531,
350.4000,1730.2356,
350.2000,1739.1261,
350.0000,1748.0135,
349.8000,1757.8445,
349.6000,1767.1926,
349.4000,1776.7971,
349.2000,1786.7798,
349.0000,1795.6111,
348.8000,1805.009,
348.6000,1814.1622,
348.4000,1822.4771,
348.2000,1830.7083,
348.0000,1838.9456,
347.8000,1847.74,
347.6000,1856.9618,
347.4000,1866.047,
347.2000,1875.2926,
347.0000,1883.3676,
346.8000,1891.1552,
346.6000,1899.5466,
346.4000,1908.7019,
346.2000,1918.5492,
346.0000,1927.105,
345.8000,1935.4459,
345.6000,1944.9072,
345.4000,1954.4701,
345.2000,1963.9567,
345.0000,1973.8518,
344.8000,1982.1396,
344.6000,1989.5297,
344.4000,1997.8943,
344.2000,2006.3613,
344.0000,2015.2094,
343.8000,2023.5491,
343.6000,2031.8923,
343.4000,2040.2563,
343.2000,2049.0981,
343.0000,2056.915,
342.8000,2064.6982,
342.6000,2073.9585,
342.4000,2083.6711,
342.2000,2093.3433,
342.0000,2102.001,
341.8000,2110.8289,
341.6000,2119.3831,
341.4000,2127.8491,
341.2000,2135.9055,
341.0000,2143.9336,
340.8000,2152.2415,
340.6000,2160.0525,
340.4000,2168.0078,
340.2000,2175.8447,
340.0000,2183.4927,
339.8000,2191.7717,
339.6000,2200.0203,
339.4000,2208.5642,
339.2000,2216.9089,
339.0000,2224.9402,
338.8000,2233.0432,
338.6000,2242.218,
338.4000,2251.3647,
338.2000,2259.2627,
338.0000,2267.6162,
337.8000,2274.4072,
337.6000,2280.9341,
337.4000,2286.6094,
337.2000,2293.3726,
337.0000,2299.8784,
336.8000,2306.4685,
336.6000,2313.0227,
336.4000,2320.0266,
336.2000,2327.7502,
336.0000,2334.7747,
335.8000,2342.1372,
335.6000,2349.6257,
335.4000,2356.7556,
335.2000,2363.8523,
335.0000,2369.7944,
334.8000,2375.376,
334.6000,2380.8792,
334.4000,2385.416,
334.2000,2391.3945,
334.0000,2398.2185,
333.8000,2404.2825,
333.6000,2408.9824,
333.4000,2413.5437,
333.2000,2417.6355,
333.0000,2422.1096,
332.8000,2427.1638,
332.6000,2431.071,
332.4000,2436.1133,
332.2000,2440.7908,
332.0000,2444.5759,
331.8000,2448.0596,
331.6000,2451.7336,
331.4000,2454.6135,
331.2000,2457.3201,
331.0000,2460.053,
330.8000,2463.303,
330.6000,2467.4641,
330.4000,2470.7695,
330.2000,2473.8579,
330.0000,2476.1565,
329.8000,2477.6804,
329.6000,2479.146,
329.4000,2479.9114,
329.2000,2481.4126,
329.0000,2481.6035,
328.8000,2482.6006,
328.6000,2481.8394,
328.4000,2480.7278,
328.2000,2480.8169,
328.0000,2482.1311,
327.8000,2482.4001,
327.6000,2482.0237,
327.4000,2480.2253,
327.2000,2478.5754,
327.0000,2477.7314,
326.8000,2477.0566,
326.6000,2476.7849,
326.4000,2476.1187,
326.2000,2475.3777,
326.0000,2473.8562,
325.8000,2471.2451,
325.6000,2468.0339,
325.4000,2465.6646,
325.2000,2463.2751,
325.0000,2460.7324,
324.8000,2457.5945,
324.6000,2453.0122,
324.4000,2447.6792,
324.2000,2441.8743,
324.0000,2437.1672,
323.8000,2431.5876,
323.6000,2426.3452,
323.4000,2421.3008,
323.2000,2415.0186,
323.0000,2408.0613,
322.8000,2401.3301,
322.6000,2394.7405,
322.4000,2387.8054,
322.2000,2381.0967,
322.0000,2372.9797,
321.8000,2364.7463,
321.6000,2356.5481,
321.4000,2347.1758,
321.2000,2337.874,
321.0000,2328.9036,
320.8000,2319.1982,
320.6000,2308.0664,
320.4000,2297.571,
320.2000,2287.3328,
320.0000,2277.2717,
319.8000,2268.0571,
319.6000,2258.6755,
319.4000,2249.1035,
319.2000,2237.4309,
319.0000,2226.03,
318.8000,2215.343,
318.6000,2203.3479,
318.4000,2191.5134,
318.2000,2178.8552,
318.0000,2165.155,
317.8000,2150.51,
317.6000,2136.1638,
317.4000,2122.0525,
317.2000,2108.1992,
317.0000,2093.7854,
316.8000,2079.8323,
316.6000,2065.5662,
316.4000,2051.9702,
316.2000,2041.4977,
316.0000,2033.3425,
315.8000,2026.7593,
315.6000,2020.6368,
315.4000,2014.8549,
315.2000,2009.4236,
315.0000,2003.6403,
