,23.07.13 10 uM AcAc 4.1,
Raman shift [1/cm],Intensity,
360.0000,1267.4674,
359.8000,1274.4684,
359.6000,1283.2426,
359.4000,1290.7067,
359.2000,1299.5886,
359.0000,1307.7955,
358.8000,1316.2198,
358.6000,1324.3519,
358.4000,1332.4009,
358.2000,1341.0007,
358.0000,1350.2581,
357.8000,1360.6128,
357.6000,1369.8964,
357.4000,1378.447,
357.2000,1386.2056,
357.0000,1393.7542,
356.8000,1401.5398,
356.6000,1410.23,
356.4000,1419.4817,
356.2000,1428.4579,
356.0000,1437.5399,
355.8000,1446.267,
355.6000,1455.2673,
355.4000,1463.9622,
355.2000,1472.4814,
355.0000,1481.0551,
354.8000,1489.2539,
354.6000,1497.7494,
354.4000,1506.2909,
354.2000,1514.4484,
354.0000,1522.5944,
353.8000,1530.4557,
353.6000,1539.2118,
353.4000,1549.3081,
353.2000,1559.9337,
353.0000,1568.8201,
352.8000,1577.7766,
352.6000,1585.9197,
352.4000,1594.7184,
352.2000,1603.9678,
352.0000,1612.8892,
351.8000,1621.8722,
351.6000,1630.0159,
351.4000,1638.4684,
351.2000,1647.3572,
351.0000,1656.2712,
350.8000,1666.0326,
350.6000,1676.0388,
350.4000,1686.3386,
350.2000,1695.9907,
350.0000,1705.6674,
349.8000,1714.4146,
349.6000,1723.4983,
349.4000,1732.3322,
349.2000,1741.6866,
349.0000,1749.3926,
348.8000,1757.5957,
348.6000,1765.689,
348.4000,1773.6683,
348.2000,1781.6187,
348.0000,1790.7498,
347.8000,1799.4596,
347.6000,1807.6949,
347.4000,1815.588,
347.2000,1823.5209,
347.0000,1832.4799,
346.8000,1841.5814,
346.6000,1851.0449,
346.4000,1861.084,
346.2000,1870.1392,
346.0000,1879.1091,
345.8000,1888.6215,
345.6000,1898.9191,
345.4000,1908.672,
345.2000,1917.9248,
345.0000,1927.1526,
344.8000,1936.114,
344.6000,1945.6796,
344.4000,1954.7017,
344.2000,1964.4963,
344.0000,1973.8494,
343.8000,1982.6696,
343.6000,1990.8374,
343.4000,1999.7,
343.2000,2007.1216,
343.0000,2014.7107,
342.8000,2023.2991,
342.6000,2032.0483,
342.4000,2040.7764,
342.2000,2049.9363,
342.0000,2059.9216,
341.8000,2068.2439,
341.6000,2077.3889,
341.4000,2086.1655,
341.2000,2095.5269,
341.0000,2104.5374,
340.8000,2113.7341,
340.6000,2121.8074,
340.4000,2129.7361,
340.2000,2137.9385,
340.0000,2144.9866,
339.8000,2153.0662,
339.6000,2161.5603,
339.4000,2169.9502,
339.2000,2178.6897,
339.0000,2186.5496,
338.8000,2193.7288,
338.6000,2201.146,
338.4000,2208.5537,
338.2000,2216.5049,
338.0000,2225.2068,
337.8000,2233.8962,
337.6000,2242.2612,
337.4000,2249.8972,
337.2000,2258.0881,
337.0000,2265.5413,
336.8000,2272.2441,
336.6000,2278.8462,
336.4000,2286.061,
336.2000,2294.0452,
336.0000,2302.6311,
335.8000,2309.1978,
335.6000,2314.417,
335.4000,2319.3022,
335.2000,2324.6218,
335.0000,2330.7324,
334.8000,2337.1208,
334.6000,2343.5142,
334.4000,2349.1243,
334.2000,2355.052,
334.0000,2360.6597,
333.8000,2366.7,
333.6000,2373.3806,
333.4000,2379.1851,
333.2000,2384.4199,
333.0000,2389.3159,
332.8000,2393.1084,
332.6000,2396.0244,
332.4000,2399.887,
332.2000,2402.9707,
332.0000,2407.0217,
331.8000,2410.4912,
331.6000,2414.2141,
331.4000,2417.6267,
331.2000,2421.1167,
331.0000,2423.936,
330.8000,2427.4968,
330.6000,2430.6604,
330.4000,2434.3154,
330.2000,2437.0718,
330.0000,2438.02,
329.8000,2438.9304,
329.6000,2440.6145,
329.4000,2443.1057,
329.2000,2445.1599,
329.0000,2445.8289,
328.8000,2446.0344,
328.6000,2446.4785,
328.4000,2445.835,
328.2000,2446.0637,
328.0000,2445.386,
327.8000,2444.4968,
327.6000,2443.134,
327.4000,2442.4548,
327.2000,2440.3223,
327.0000,2438.4902,
326.8000,2437.3398,
326.6000,2435.3062,
326.4000,2433.9238,
326.2000,2431.5452,
326.0000,2430.0762,
325.8000,2429.6499,
325.6000,2428.4236,
325.4000,2426.321,
325.2000,2423.5667,
325.0000,2420.3315,
324.8000,2415.6082,
324.6000,2411.0349,
324.4000,2405.8677,
324.2000,2399.0286,
324.0000,2391.6479,
323.8000,2386.1025,
323.6000,2381.2407,
323.4000,2375.7771,
323.2000,2368.8545,
323.0000,2361.6152,
322.8000,2354.5466,
322.6000,2348.0269,
322.4000,2341.1389,
322.2000,2333.8093,
322.0000,2325.4668,
321.8000,2316.6208,
321.6000,2307.8928,
321.4000,2297.6367,
321.2000,2288.282,
321.0000,2279.8774,
320.8000,2270.7935,
320.6000,2261.0964,
320.4000,2251.614,
320.2000,2240.8569,
320.0000,2229.4609,
319.8000,2218.7319,
319.6000,2207.9031,
319.4000,2196.5078,
319.2000,2185.0901,
319.0000,2174.0857,
318.8000,2162.7891,
318.6000,2152.6321,
318.4000,2141.3459,
318.2000,2128.0896,
318.0000,2114.6663,
317.8000,2102.7822,
317.6000,2090.209,
317.4000,2077.0522,
317.2000,2064.8884,
317.0000,2052.2996,
316.8000,2038.6605,
316.6000,2024.1311,
316.4000,2009.5582,
316.2000,1998.2194,
316.0000,1990.6942,
315.8000,1984.2036,
315.6000,1976.96,
315.4000,1970.076,
315.2000,1963.0114,
315.0000,1957.4011,
