,23.07.13 10 uM BHB 3.1,
Raman shift [1/cm],Intensity,
360.0000,1279.3364,
359.8000,1286.8641,
359.6000,1295.3812,
359.4000,1303.7446,
359.2000,1312.2852,
359.0000,1321.7627,
358.8000,1330.1664,
358.6000,1338.4675,
358.4000,1346.7489,
358.2000,1355.6243,
358.0000,1363.2972,
357.8000,1371.0001,
357.6000,1379.8303,
357.4000,1389.1259,
357.2000,1397.1403,
357.0000,1405.9143,
356.8000,1414.7938,
356.6000,1423.6605,
356.4000,1432.1656,
356.2000,1440.8357,
356.0000,1448.3116,
355.8000,1456.7128,
355.6000,1464.8944,
355.4000,1473.4572,
355.2000,1482.3845,
355.0000,1490.5002,
354.8000,1498.3557,
354.6000,1506.5452,
354.4000,1515.1621,
354.2000,1523.7574,
354.0000,1532.5104,
353.8000,1540.8691,
353.6000,1549.9883,
353.4000,1559.4779,
353.2000,1567.932,
353.0000,1577.7816,
352.8000,1587.3656,
352.6000,1596.8446,
352.4000,1607.0648,
352.2000,1616.7527,
352.0000,1625.6992,
351.8000,1634.6656,
351.6000,1643.9376,
351.4000,1652.752,
351.2000,1661.3021,
351.0000,1669.9705,
350.8000,1678.873,
350.6000,1688.0636,
350.4000,1696.9603,
350.2000,1704.8011,
350.0000,1713.0994,
349.8000,1721.7894,
349.6000,1730.7305,
349.4000,1740.7113,
349.2000,1750.3053,
349.0000,1760.0244,
348.8000,1769.1628,
348.6000,1778.1556,
348.4000,1788.0897,
348.2000,1797.5649,
348.0000,1806.0333,
347.8000,1814.5746,
347.6000,1822.4629,
347.4000,1829.8761,
347.2000,1837.3132,
347.0000,1845.7961,
346.8000,1854.9119,
346.6000,1862.7758,
346.4000,1871.2229,
346.2000,1880.8745,
346.0000,1889.616,
345.8000,1898.6212,
345.6000,1907.1288,
345.4000,1915.6064,
345.2000,1925.3784,
345.0000,1935.4554,
344.8000,1942.865,
344.6000,1950.092,
344.4000,1958.2366,
344.2000,1966.3666,
344.0000,1975.0568,
343.8000,1984.2686,
343.6000,1993.2556,
343.4000,2001.0804,
343.2000,2008.9651,
343.0000,2017.4438,
342.8000,2025.7462,
342.6000,2034.2534,
342.4000,2042.4633,
342.2000,2051.5464,
342.0000,2059.0527,
341.8000,2066.1707,
341.6000,2073.5762,
341.4000,2081.1343,
341.2000,2088.0957,
341.0000,2096.1975,
340.8000,2103.9329,
340.6000,2112.321,
340.4000,2119.7451,
340.2000,2127.9473,
340.0000,2136.72,
339.8000,2145.2876,
339.6000,2153.3196,
339.4000,2161.7358,
339.2000,2169.8967,
339.0000,2178.9177,
338.8000,2187.468,
338.6000,2195.4277,
338.4000,2203.4329,
338.2000,2211.7578,
338.0000,2220.5754,
337.8000,2228.4585,
337.6000,2236.3848,
337.4000,2242.6189,
337.2000,2249.0942,
337.0000,2255.9514,
336.8000,2263.6445,
336.6000,2271.2893,
336.4000,2277.6028,
336.2000,2283.9663,
336.0000,2291.2939,
335.8000,2298.26,
335.6000,2304.9673,
335.4000,2311.8567,
335.2000,2317.7935,
335.0000,2323.481,
334.8000,2328.8474,
334.6000,2334.2813,
334.4000,2339.4485,
334.2000,2345.6189,
334.0000,2352.0818,
333.8000,2357.5977,
333.6000,2362.53,
333.4000,2367.2952,
333.2000,2373.1956,
333.0000,2378.8188,
332.8000,2382.5688,
332.6000,2386.1147,
332.4000,2390.2556,
332.2000,2395.1848,
332.0000,2399.3552,
331.8000,2402.7324,
331.6000,2405.6145,
331.4000,2409.1875,
331.2000,2411.5183,
331.0000,2413.7888,
330.8000,2416.0071,
330.6000,2417.5955,
330.4000,2418.666,
330.2000,2420.668,
330.0000,2422.3979,
329.8000,2425.7537,
329.6000,2428.4043,
329.4000,2431.5984,
329.2000,2434.938,
329.0000,2436.3254,
328.8000,2437.1685,
328.6000,2437.8098,
328.4000,2438.7351,
328.2000,2438.7808,
328.0000,2438.9976,
327.8000,2438.7966,
327.6000,2438.2456,
327.4000,2437.2644,
327.2000,2435.2087,
327.0000,2433.582,
326.8000,2432.7991,
326.6000,2432.5845,
326.4000,2431.8633,
326.2000,2431.073,
326.0000,2429.1409,
325.8000,2426.926,
325.6000,2424.6877,
325.4000,2422.7937,
325.2000,2419.575,
325.0000,2415.9575,
324.8000,2413.366,
324.6000,2410.2317,
324.4000,2406.5881,
324.2000,2401.2769,
324.0000,2396.6484,
323.8000,2391.7402,
323.6000,2387.4126,
323.4000,2381.7761,
323.2000,2375.9871,
323.0000,2369.6047,
322.8000,2362.5923,
322.6000,2354.7837,
322.4000,2347.8335,
322.2000,2341.415,
322.0000,2333.1277,
321.8000,2324.7795,
321.6000,2316.6909,
321.4000,2307.0674,
321.2000,2297.2529,
321.0000,2287.2874,
320.8000,2277.9495,
320.6000,2268.8823,
320.4000,2258.9343,
320.2000,2248.8298,
320.0000,2238.8794,
319.8000,2228.3335,
319.6000,2216.8682,
319.4000,2206.2383,
319.2000,2195.8945,
319.0000,2184.78,
318.8000,2173.2351,
318.6000,2161.9724,
318.4000,2150.0854,
318.2000,2137.428,
318.0000,2124.3323,
317.8000,2110.3918,
317.6000,2096.3098,
317.4000,2083.0442,
317.2000,2069.8281,
317.0000,2057.1711,
316.8000,2044.3077,
316.6000,2029.7976,
316.4000,2015.2704,
316.2000,2004.4772,
316.0000,1996.7169,
315.8000,1991.0815,
315.6000,1985.9353,
315.4000,1980.407,
315.2000,1973.2565,
315.0000,1967.1792,
