,23.07.13 10 uM L-ala 3,
Raman shift [1/cm],Intensity,
360.0000,1306.6605,
359.8000,1314.3285,
359.6000,1322.2787,
359.4000,1331.3329,
359.2000,1341.0656,
359.0000,1350.4667,
358.8000,1358.9617,
358.6000,1366.8197,
358.4000,1374.7472,
358.2000,1382.1174,
358.0000,1390.7361,
357.8000,1398.9799,
357.6000,1407.8585,
357.4000,1416.3146,
357.2000,1424.0527,
357.0000,1432.1904,
356.8000,1440.5356,
356.6000,1449.553,
356.4000,1459.3174,
356.2000,1469.2531,
356.0000,1478.8113,
355.8000,1488.0099,
355.6000,1496.9716,
355.4000,1505.3303,
355.2000,1514.0687,
355.0000,1522.7183,
354.8000,1530.6896,
354.6000,1539.7278,
354.4000,1549.3867,
354.2000,1558.4922,
354.0000,1566.8566,
353.8000,1575.4426,
353.6000,1584.1904,
353.4000,1593.7112,
353.2000,1603.9893,
353.0000,1613.9224,
352.8000,1623.2467,
352.6000,1632.1903,
352.4000,1641.0038,
352.2000,1649.5244,
352.0000,1658.259,
351.8000,1668.0751,
351.6000,1677.5887,
351.4000,1685.9761,
351.2000,1695.1262,
351.0000,1704.5372,
350.8000,1713.3962,
350.6000,1722.8811,
350.4000,1731.8666,
350.2000,1740.2679,
350.0000,1748.5952,
349.8000,1757.0656,
349.6000,1765.7455,
349.4000,1774.7681,
349.2000,1784.0553,
349.0000,1793.8922,
348.8000,1803.7574,
348.6000,1812.4004,
348.4000,1820.4176,
348.2000,1828.7605,
348.0000,1837.2325,
347.8000,1845.5016,
347.6000,1855.2109,
347.4000,1864.5046,
347.2000,1873.4382,
347.0000,1883.1471,
346.8000,1893.0084,
346.6000,1902.9613,
346.4000,1912.2098,
346.2000,1921.3251,
346.0000,1930.5684,
345.8000,1940.22,
345.6000,1948.9957,
345.4000,1957.871,
345.2000,1966.9529,
345.0000,1975.6591,
344.8000,1984.4131,
344.6000,1992.6752,
344.4000,2001.995,
344.2000,2010.9426,
344.0000,2020.6272,
343.8000,2030.1124,
343.6000,2038.7395,
343.4000,2048.6323,
343.2000,2057.3374,
343.0000,2066.8667,
342.8000,2076.0452,
342.6000,2084.8096,
342.4000,2093.7681,
342.2000,2101.769,
342.0000,2109.9983,
341.8000,2117.5874,
341.6000,2124.614,
341.4000,2131.4006,
341.2000,2139.5437,
341.0000,2148.4866,
340.8000,2158.1941,
340.6000,2167.0732,
340.4000,2176.7502,
340.2000,2185.5762,
340.0000,2195.0664,
339.8000,2203.4741,
339.6000,2212.2324,
339.4000,2221.3145,
339.2000,2229.2754,
339.0000,2237.5,
338.8000,2245.6299,
338.6000,2252.8677,
338.4000,2260.4419,
338.2000,2267.4424,
338.0000,2275.2451,
337.8000,2283.7241,
337.6000,2291.656,
337.4000,2298.6702,
337.2000,2305.533,
337.0000,2313.5623,
336.8000,2321.4753,
336.6000,2328.6699,
336.4000,2335.5605,
336.2000,2343.1035,
336.0000,2350.9426,
335.8000,2358.1948,
335.6000,2364.7803,
335.4000,2370.4319,
335.2000,2376.314,
335.0000,2382.7844,
334.8000,2389.573,
334.6000,2395.4221,
334.4000,2401.5032,
334.2000,2407.9331,
334.0000,2413.4583,
333.8000,2417.7542,
333.6000,2423.3752,
333.4000,2428.5032,
333.2000,2433.2422,
333.0000,2439.4346,
332.8000,2444.7754,
332.6000,2449.0459,
332.4000,2454.1755,
332.2000,2459.2959,
332.0000,2464.4497,
331.8000,2467.6943,
331.6000,2470.2529,
331.4000,2473.2788,
331.2000,2476.1445,
331.0000,2478.437,
330.8000,2481.2004,
330.6000,2483.8745,
330.4000,2487.6213,
330.2000,2491.4214,
330.0000,2493.2502,
329.8000,2494.1462,
329.6000,2494.6177,
329.4000,2496.8057,
329.2000,2497.9404,
329.0000,2498.1248,
328.8000,2498.5886,
328.6000,2498.8413,
328.4000,2499.3835,
328.2000,2499.3225,
328.0000,2498.9248,
327.8000,2498.8708,
327.6000,2498.5754,
327.4000,2497.4731,
327.2000,2496.6887,
327.0000,2495.3318,
326.8000,2493.1069,
326.6000,2491.0173,
326.4000,2488.8599,
326.2000,2487.0486,
326.0000,2484.9841,
325.8000,2482.1711,
325.6000,2479.0093,
325.4000,2474.7788,
325.2000,2471.3555,
325.0000,2468.0371,
324.8000,2463.5471,
324.6000,2459.116,
324.4000,2454.5688,
324.2000,2450.7024,
324.0000,2446.2966,
323.8000,2442.0654,
323.6000,2438.2368,
323.4000,2432.8984,
323.2000,2425.5532,
323.0000,2418.4978,
322.8000,2411.0518,
322.6000,2403.1401,
322.4000,2395.2847,
322.2000,2387.3374,
322.0000,2377.7957,
321.8000,2368.4465,
321.6000,2359.1819,
321.4000,2350.7502,
321.2000,2342.3528,
321.0000,2333.4656,
320.8000,2323.9287,
320.6000,2313.0938,
320.4000,2302.7795,
320.2000,2293.0527,
320.0000,2282.7285,
319.8000,2271.594,
319.6000,2261.2717,
319.4000,2249.9788,
319.2000,2239.2769,
319.0000,2227.3506,
318.8000,2215.5227,
318.6000,2203.5176,
318.4000,2191.6045,
318.2000,2178.7004,
318.0000,2164.8584,
317.8000,2150.4688,
317.6000,2136.448,
317.4000,2122.6682,
317.2000,2108.9539,
317.0000,2094.6658,
316.8000,2080.271,
316.6000,2065.4248,
316.4000,2051.1709,
316.2000,2040.4973,
316.0000,2033.0316,
315.8000,2027.7307,
315.6000,2021.4875,
315.4000,2015.1602,
315.2000,2008.2694,
315.0000,2001.3655,
