,23.07.13 10 uM L-ala 4.1,
Raman shift [1/cm],Intensity,
360.0000,1287.9777,
359.8000,1295.3635,
359.6000,1303.0408,
359.4000,1311.5682,
359.2000,1320.5831,
359.0000,1328.9824,
358.8000,1337.4045,
358.6000,1346.1733,
358.4000,1354.6691,
358.2000,1362.9897,
358.0000,1371.8589,
357.8000,1380.8762,
357.6000,1389.7603,
357.4000,1398.075,
357.2000,1406.7261,
357.0000,1415.4915,
356.8000,1424.2711,
356.6000,1432.9658,
356.4000,1442.0985,
356.2000,1450.8383,
356.0000,1459.1426,
355.8000,1467.6102,
355.6000,1477.1683,
355.4000,1485.8979,
355.2000,1494.9093,
355.0000,1503.9249,
354.8000,1513.4805,
354.6000,1522.5856,
354.4000,1532.3497,
354.2000,1541.8088,
354.0000,1550.6715,
353.8000,1559.2886,
353.6000,1568.7194,
353.4000,1578.7738,
353.2000,1588.3511,
353.0000,1597.3281,
352.8000,1605.9016,
352.6000,1614.662,
352.4000,1623.2217,
352.2000,1631.9355,
352.0000,1640.8948,
351.8000,1649.5426,
351.6000,1658.6727,
351.4000,1668.4277,
351.2000,1678.3114,
351.0000,1688.7358,
350.8000,1698.676,
350.6000,1707.9626,
350.4000,1717.4799,
350.2000,1727.1213,
350.0000,1736.3696,
349.8000,1744.0446,
349.6000,1752.149,
349.4000,1759.8541,
349.2000,1768.4849,
349.0000,1777.0017,
348.8000,1785.9159,
348.6000,1795.6134,
348.4000,1805.547,
348.2000,1815.2905,
348.0000,1825.411,
347.8000,1835.4771,
347.6000,1844.9828,
347.4000,1854.0688,
347.2000,1863.1548,
347.0000,1871.7118,
346.8000,1880.4178,
346.6000,1888.78,
346.4000,1898.2213,
346.2000,1907.6918,
346.0000,1915.9672,
345.8000,1924.5098,
345.6000,1933.8738,
345.4000,1943.2369,
345.2000,1953.421,
345.0000,1963.5724,
344.8000,1972.5226,
344.6000,1982.0486,
344.4000,1990.8356,
344.2000,1999.624,
344.0000,2007.9075,
343.8000,2016.0808,
343.6000,2025.3826,
343.4000,2032.9733,
343.2000,2040.9248,
343.0000,2049.604,
342.8000,2058.3,
342.6000,2067.2524,
342.4000,2076.2324,
342.2000,2085.4031,
342.0000,2094.635,
341.8000,2103.9856,
341.6000,2112.436,
341.4000,2120.769,
341.2000,2129.6621,
341.0000,2138.7832,
340.8000,2147.6179,
340.6000,2155.9954,
340.4000,2164.5051,
340.2000,2172.4341,
340.0000,2180.3164,
339.8000,2188.771,
339.6000,2197.8137,
339.4000,2207.0811,
339.2000,2215.6096,
339.0000,2223.7275,
338.8000,2230.6716,
338.6000,2237.6311,
338.4000,2245.0474,
338.2000,2253.1577,
338.0000,2261.1118,
337.8000,2269.2068,
337.6000,2277.6567,
337.4000,2285.6257,
337.2000,2294.4141,
337.0000,2301.8481,
336.8000,2308.6316,
336.6000,2316.0654,
336.4000,2323.1616,
336.2000,2331.1116,
336.0000,2339.0159,
335.8000,2346.9402,
335.6000,2354.0144,
335.4000,2360.144,
335.2000,2367.2004,
335.0000,2374.7795,
334.8000,2382.5176,
334.6000,2388.8411,
334.4000,2394.8816,
334.2000,2400.2769,
334.0000,2406.2527,
333.8000,2411.1462,
333.6000,2415.7229,
333.4000,2420.1968,
333.2000,2424.1521,
333.0000,2427.55,
332.8000,2431.6858,
332.6000,2436.0403,
332.4000,2439.3665,
332.2000,2443.1011,
332.0000,2447.3782,
331.8000,2451.6396,
331.6000,2455.3638,
331.4000,2458.6963,
331.2000,2461.3,
331.0000,2464.282,
330.8000,2467.582,
330.6000,2469.2869,
330.4000,2470.6621,
330.2000,2471.7473,
330.0000,2473.7649,
329.8000,2477.0039,
329.6000,2479.0264,
329.4000,2480.3013,
329.2000,2481.564,
329.0000,2481.7927,
328.8000,2483.293,
328.6000,2482.5627,
328.4000,2481.9417,
328.2000,2483.6313,
328.0000,2484.3389,
327.8000,2485.2444,
327.6000,2485.2351,
327.4000,2484.364,
327.2000,2482.5901,
327.0000,2480.8164,
326.8000,2479.0876,
326.6000,2477.9475,
326.4000,2476.3037,
326.2000,2474.4966,
326.0000,2472.8796,
325.8000,2470.6038,
325.6000,2467.9558,
325.4000,2466.1772,
325.2000,2463.0405,
325.0000,2459.5002,
324.8000,2454.104,
324.6000,2448.5164,
324.4000,2443.1084,
324.2000,2438.384,
324.0000,2433.0078,
323.8000,2427.196,
323.6000,2421.3689,
323.4000,2415.3108,
323.2000,2408.5847,
323.0000,2401.6943,
322.8000,2394.2104,
322.6000,2386.6079,
322.4000,2377.4421,
322.2000,2369.3301,
322.0000,2361.1475,
321.8000,2352.3479,
321.6000,2342.105,
321.4000,2331.541,
321.2000,2320.4182,
321.0000,2311.1748,
320.8000,2301.6519,
320.6000,2292.1145,
320.4000,2282.3828,
320.2000,2271.4236,
320.0000,2260.0874,
319.8000,2249.0317,
319.6000,2237.21,
319.4000,2224.615,
319.2000,2210.7039,
319.0000,2198.8674,
318.8000,2186.5627,
318.6000,2173.5906,
318.4000,2160.7002,
318.2000,2146.6758,
318.0000,2131.8152,
317.8000,2117.0452,
317.6000,2103.1841,
317.4000,2089.2947,
317.2000,2075.333,
317.0000,2060.7427,
316.8000,2045.8416,
316.6000,2031.3997,
316.4000,2017.251,
316.2000,2006.8855,
316.0000,1999.4398,
315.8000,1993.553,
315.6000,1987.4109,
315.4000,1981.4077,
315.2000,1975.2524,
315.0000,1969.1552,
