,23.07.13 Blank 3.1,
Raman shift [1/cm],Intensity,
360.0000,1295.5227,
359.8000,1303.0845,
359.6000,1311.5938,
359.4000,1320.118,
359.2000,1328.9132,
359.0000,1337.0647,
358.8000,1344.7113,
358.6000,1352.4106,
358.4000,1360.5778,
358.2000,1369.2263,
358.0000,1377.6989,
357.8000,1386.8057,
357.6000,1396.4833,
357.4000,1405.1566,
357.2000,1414.0754,
357.0000,1422.9333,
356.8000,1431.8031,
356.6000,1440.5522,
356.4000,1449.0476,
356.2000,1456.49,
356.0000,1464.7644,
355.8000,1473.0918,
355.6000,1480.5968,
355.4000,1488.8839,
355.2000,1497.4326,
355.0000,1505.9268,
354.8000,1514.8903,
354.6000,1525.1464,
354.4000,1535.0289,
354.2000,1544.8772,
354.0000,1553.7744,
353.8000,1562.5939,
353.6000,1572.0876,
353.4000,1581.4493,
353.2000,1590.6324,
353.0000,1599.6022,
352.8000,1607.4294,
352.6000,1615.11,
352.4000,1623.7861,
352.2000,1632.5332,
352.0000,1641.3306,
351.8000,1650.1404,
351.6000,1658.9268,
351.4000,1666.8868,
351.2000,1676.1658,
351.0000,1685.6873,
350.8000,1694.8859,
350.6000,1704.5065,
350.4000,1714.2228,
350.2000,1723.7997,
350.0000,1733.8542,
349.8000,1743.781,
349.6000,1753.9225,
349.4000,1763.3799,
349.2000,1771.9349,
349.0000,1781.3536,
348.8000,1789.7386,
348.6000,1799.52,
348.4000,1808.7467,
348.2000,1818.1377,
348.0000,1826.8564,
347.8000,1835.0115,
347.6000,1843.7404,
347.4000,1851.9388,
347.2000,1860.2717,
347.0000,1868.8088,
346.8000,1877.1565,
346.6000,1885.9332,
346.4000,1894.0594,
346.2000,1902.5206,
346.0000,1911.879,
345.8000,1920.6633,
345.6000,1929.5577,
345.4000,1938.6398,
345.2000,1947.0707,
345.0000,1955.6403,
344.8000,1965.5511,
344.6000,1975.5686,
344.4000,1983.4103,
344.2000,1991.5085,
344.0000,1999.486,
343.8000,2007.4409,
343.6000,2015.2705,
343.4000,2023.9346,
343.2000,2032.3175,
343.0000,2040.2826,
342.8000,2048.7056,
342.6000,2057.9761,
342.4000,2067.0774,
342.2000,2076.2993,
342.0000,2085.9475,
341.8000,2094.5889,
341.6000,2102.8093,
341.4000,2111.5459,
341.2000,2120.4539,
341.0000,2129.8481,
340.8000,2140.4192,
340.6000,2150.4456,
340.4000,2159.7039,
340.2000,2167.8599,
340.0000,2175.8074,
339.8000,2184.2378,
339.6000,2192.9297,
339.4000,2201.1655,
339.2000,2208.7849,
339.0000,2216.6292,
338.8000,2224.5791,
338.6000,2232.6084,
338.4000,2242.1545,
338.2000,2251.3481,
338.0000,2260.5522,
337.8000,2269.0981,
337.6000,2276.5115,
337.4000,2284.0537,
337.2000,2291.3928,
337.0000,2298.9958,
336.8000,2305.8735,
336.6000,2312.3928,
336.4000,2318.95,
336.2000,2325.8127,
336.0000,2332.6926,
335.8000,2338.7808,
335.6000,2345.1272,
335.4000,2352.5452,
335.2000,2358.6245,
335.0000,2365.519,
334.8000,2372.2754,
334.6000,2378.3481,
334.4000,2383.4583,
334.2000,2387.4753,
334.0000,2391.926,
333.8000,2397.3359,
333.6000,2403.22,
333.4000,2408.5718,
333.2000,2412.917,
333.0000,2416.655,
332.8000,2420.6733,
332.6000,2426.0688,
332.4000,2429.4412,
332.2000,2432.9648,
332.0000,2436.9839,
331.8000,2440.4446,
331.6000,2442.5674,
331.4000,2445.2129,
331.2000,2448.5625,
331.0000,2452.3909,
330.8000,2456.0029,
330.6000,2459.1638,
330.4000,2462.4023,
330.2000,2464.7581,
330.0000,2466.8262,
329.8000,2469.6665,
329.6000,2472.1477,
329.4000,2474.7993,
329.2000,2476.752,
329.0000,2477.79,
328.8000,2478.0242,
328.6000,2477.6072,
328.4000,2478.8171,
328.2000,2477.8096,
328.0000,2476.762,
327.8000,2476.7334,
327.6000,2476.4937,
327.4000,2476.3979,
327.2000,2476.3914,
327.0000,2473.6431,
326.8000,2470.3931,
326.6000,2468.6052,
326.4000,2467.853,
326.2000,2465.554,
326.0000,2463.4597,
325.8000,2461.407,
325.6000,2459.1699,
325.4000,2456.2266,
325.2000,2452.6892,
325.0000,2449.1895,
324.8000,2444.7969,
324.6000,2439.7178,
324.4000,2434.5513,
324.2000,2429.0396,
324.0000,2422.8259,
323.8000,2417.9395,
323.6000,2412.6155,
323.4000,2405.4194,
323.2000,2398.4751,
323.0000,2390.6777,
322.8000,2382.0195,
322.6000,2374.3625,
322.4000,2366.1243,
322.2000,2358.8442,
322.0000,2350.6362,
321.8000,2341.6667,
321.6000,2332.1558,
321.4000,2323.6787,
321.2000,2314.9702,
321.0000,2307.2556,
320.8000,2299.0637,
320.6000,2288.5068,
320.4000,2277.8047,
320.2000,2267.0168,
320.0000,2256.8159,
319.8000,2245.5654,
319.6000,2234.4124,
319.4000,2223.0325,
319.2000,2210.7605,
319.0000,2198.0295,
318.8000,2185.4988,
318.6000,2173.543,
318.4000,2161.9912,
318.2000,2149.3989,
318.0000,2136.4067,
317.8000,2123.4167,
317.6000,2109.6672,
317.4000,2095.198,
317.2000,2081.0784,
317.0000,2067.7388,
316.8000,2054.3931,
316.6000,2040.8687,
316.4000,2027.6558,
316.2000,2018.7351,
316.0000,2012.6639,
315.8000,2006.6962,
315.6000,2000.7891,
315.4000,1994.3318,
315.2000,1988.0723,
315.0000,1982.8121,
