,23.07.13 Blank 3,
Raman shift [1/cm],Intensity,
360.0000,1290.6431,
359.8000,1298.8546,
359.6000,1307.576,
359.4000,1315.5964,
359.2000,1324.2736,
359.0000,1332.5758,
358.8000,1341.2509,
358.6000,1350.2323,
358.4000,1358.5559,
358.2000,1366.3456,
358.0000,1374.1652,
357.8000,1382.1788,
357.6000,1390.0221,
357.4000,1398.1356,
357.2000,1405.7297,
357.0000,1414.2401,
356.8000,1423.6742,
356.6000,1433.2413,
356.4000,1441.8147,
356.2000,1450.9041,
356.0000,1459.2585,
355.8000,1467.678,
355.6000,1476.4314,
355.4000,1485.0793,
355.2000,1493.8794,
355.0000,1503.1322,
354.8000,1512.5367,
354.6000,1522.1926,
354.4000,1530.7517,
354.2000,1538.7056,
354.0000,1547.7643,
353.8000,1556.53,
353.6000,1565.744,
353.4000,1575.224,
353.2000,1584.5415,
353.0000,1594.4818,
352.8000,1604.0803,
352.6000,1613.3784,
352.4000,1622.0984,
352.2000,1630.9731,
352.0000,1640.6835,
351.8000,1649.3344,
351.6000,1657.028,
351.4000,1665.0822,
351.2000,1674.1221,
351.0000,1683.6617,
350.8000,1693.4875,
350.6000,1703.321,
350.4000,1712.048,
350.2000,1720.6406,
350.0000,1730.328,
349.8000,1740.4644,
349.6000,1750.6118,
349.4000,1759.7626,
349.2000,1769.7896,
349.0000,1779.8702,
348.8000,1789.7655,
348.6000,1799.7218,
348.4000,1809.8082,
348.2000,1819.7482,
348.0000,1829.7598,
347.8000,1839.5134,
347.6000,1848.5847,
347.4000,1857.6082,
347.2000,1866.3175,
347.0000,1874.6052,
346.8000,1882.6686,
346.6000,1892.0757,
346.4000,1901.594,
346.2000,1910.6765,
346.0000,1919.1799,
345.8000,1927.3483,
345.6000,1936.5192,
345.4000,1945.8409,
345.2000,1955.6361,
345.0000,1964.6653,
344.8000,1973.4194,
344.6000,1982.3607,
344.4000,1991.7876,
344.2000,2000.4403,
344.0000,2010.2174,
343.8000,2020.6973,
343.6000,2031.6813,
343.4000,2041.701,
343.2000,2050.6838,
343.0000,2059.9548,
342.8000,2068.5081,
342.6000,2076.4893,
342.4000,2085.157,
342.2000,2095.207,
342.0000,2104.7798,
341.8000,2112.9421,
341.6000,2122.4316,
341.4000,2132.6208,
341.2000,2142.5205,
341.0000,2151.9661,
340.8000,2161.4204,
340.6000,2170.9807,
340.4000,2179.8975,
340.2000,2188.6475,
340.0000,2197.291,
339.8000,2206.6858,
339.6000,2215.8486,
339.4000,2225.2798,
339.2000,2233.2566,
339.0000,2240.2754,
338.8000,2247.4282,
338.6000,2255.1589,
338.4000,2263.6531,
338.2000,2272.7026,
338.0000,2280.821,
337.8000,2288.5786,
337.6000,2296.1384,
337.4000,2304.7444,
337.2000,2312.7427,
337.0000,2320.0452,
336.8000,2326.5342,
336.6000,2334.2295,
336.4000,2341.6853,
336.2000,2348.1221,
336.0000,2354.9932,
335.8000,2362.1887,
335.6000,2368.3713,
335.4000,2375.8352,
335.2000,2383.6311,
335.0000,2389.9229,
334.8000,2396.3098,
334.6000,2403.0435,
334.4000,2409.7539,
334.2000,2415.0718,
334.0000,2421.4709,
333.8000,2428.8093,
333.6000,2434.9749,
333.4000,2440.2756,
333.2000,2444.8608,
333.0000,2449.6326,
332.8000,2453.9028,
332.6000,2458.5918,
332.4000,2463.6077,
332.2000,2468.51,
332.0000,2471.759,
331.8000,2474.3616,
331.6000,2477.7212,
331.4000,2479.9851,
331.2000,2481.6072,
331.0000,2483.3196,
330.8000,2484.8005,
330.6000,2486.1257,
330.4000,2487.8284,
330.2000,2489.8848,
330.0000,2491.377,
329.8000,2491.5996,
329.6000,2492.5933,
329.4000,2494.0032,
329.2000,2496.0471,
329.0000,2498.3884,
328.8000,2500.0034,
328.6000,2500.5562,
328.4000,2500.6184,
328.2000,2501.459,
328.0000,2502.2385,
327.8000,2503.2339,
327.6000,2502.9917,
327.4000,2502.4583,
327.2000,2501.4507,
327.0000,2500.5735,
326.8000,2499.7085,
326.6000,2496.7825,
326.4000,2493.3833,
326.2000,2490.8865,
326.0000,2487.2324,
325.8000,2483.0593,
325.6000,2478.8953,
325.4000,2475.2532,
325.2000,2471.3137,
325.0000,2467.2593,
324.8000,2463.9985,
324.6000,2460.1316,
324.4000,2455.8743,
324.2000,2450.4067,
324.0000,2445.3394,
323.8000,2439.6711,
323.6000,2432.8228,
323.4000,2425.4104,
323.2000,2419.459,
323.0000,2412.7224,
322.8000,2404.8792,
322.6000,2396.2981,
322.4000,2389.1431,
322.2000,2382.4241,
322.0000,2374.1624,
321.8000,2365.8616,
321.6000,2356.6323,
321.4000,2348.7935,
321.2000,2340.1216,
321.0000,2332.1348,
320.8000,2323.3831,
320.6000,2313.4946,
320.4000,2303.0857,
320.2000,2291.7705,
320.0000,2281.2192,
319.8000,2270.3281,
319.6000,2257.5488,
319.4000,2244.9548,
319.2000,2232.5583,
319.0000,2219.7031,
318.8000,2207.4692,
318.6000,2194.7273,
318.4000,2183.1443,
318.2000,2171.4907,
318.0000,2158.7642,
317.8000,2145.6497,
317.6000,2133.0195,
317.4000,2119.1121,
317.2000,2104.4932,
317.0000,2091.2041,
316.8000,2076.7195,
316.6000,2061.2981,
316.4000,2046.3085,
316.2000,2035.889,
316.0000,2028.1517,
315.8000,2021.5087,
315.6000,2015.1165,
315.4000,2009.045,
315.2000,2002.7545,
315.0000,1997.4612,
